segment_id,point_id,point_type,direction,status,gcs_uri,latitude,longitude,pano_id,pano_lat,pano_lng,street_bearing,heading
3,0019,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0019_forward_40.7478634_-73.9929048_299.2.jpg,40.7478634,-73.9929048,CAoSFkNJSE0wb2dLRUlDQWdJQ0VyNTJIZEE.,40.74788081579625,-73.99294337116656,299.22,299.22
3,0019,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0019_backward_40.7478634_-73.9929048_119.2.jpg,40.7478634,-73.9929048,CAoSFkNJSE0wb2dLRUlDQWdJQ0VyNTJIZEE.,40.74788081579625,-73.99294337116656,299.22,119.22000000000003
3,0020,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0020_forward_40.7479949_-73.9932152_299.1.jpg,40.7479949,-73.9932152,LL_ptrn4xE26oCrtBR8_Xw,40.74801874807059,-73.99321524893335,299.06,299.06
3,0020,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0020_backward_40.7479949_-73.9932152_119.1.jpg,40.7479949,-73.9932152,LL_ptrn4xE26oCrtBR8_Xw,40.74801874807059,-73.99321524893335,299.06,119.06
3,0021,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0021_forward_40.7481258_-73.9935261_299.1.jpg,40.7481258,-73.9935261,csUfEhmeYb4lxPWQs7k3LQ,40.74813943245817,-73.9935260427685,299.06,299.06
3,0021,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0021_backward_40.7481258_-73.9935261_119.1.jpg,40.7481258,-73.9935261,csUfEhmeYb4lxPWQs7k3LQ,40.74813943245817,-73.9935260427685,299.06,119.06
3,0022,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0022_forward_40.7482567_-73.993837_299.1.jpg,40.7482567,-73.993837,RmXkjdOO31WXOVj0ZhLQMA,40.74826377978175,-73.9938557562778,299.06,299.06
3,0022,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0022_backward_40.7482567_-73.993837_119.1.jpg,40.7482567,-73.993837,RmXkjdOO31WXOVj0ZhLQMA,40.74826377978175,-73.9938557562778,299.06,119.06
3,0023,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0023_forward_40.7483876_-73.9941478_299.1.jpg,40.7483876,-73.9941478,iqHIq3XhlNBy-nzAkjgvWA,40.74839275765424,-73.99416816311569,299.06,299.06
3,0023,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/003-0023_backward_40.7483876_-73.9941478_119.1.jpg,40.7483876,-73.9941478,iqHIq3XhlNBy-nzAkjgvWA,40.74839275765424,-73.99416816311569,299.06,119.06
